ggis_rowid,ggis_country_status,ggis_global_slug_coverage,ggis_peer_deviation,ggis_lag_affected
170,reporting,0.4107142857142857,-0.022727272727272818,false
171,reporting,0.42857142857142855,-0.02029220779220786,false
172,reporting,0.43993506493506496,-0.0005411255411255089,false
173,strong,0.474025974025974,0.025974025974025983,false
174,strong,0.5,0.026244588744588737,false
175,strong,0.4772727272727273,0.022186147186147143,false
176,strong,0.5113636363636364,0.027326839826839755,false
177,strong,0.512987012987013,0.021915584415584444,false
178,strong,0.5048701298701299,0.021103896103896125,false
179,strong,0.512987012987013,0.021103896103896125,false
180,strong,0.5162337662337663,0.021103896103896125,false
181,strong,0.538961038961039,0.02651515151515149,false
182,strong,0.5162337662337663,0.0243506493506494,false
183,strong,0.5162337662337663,0.020021645021644996,false
184,strong,0.5422077922077922,0.02056277056277056,false
185,strong,0.5194805194805194,0.027597402597402565,false
186,strong,0.5974025974025974,0.03327922077922085,false
187,strong,0.6347402597402597,0.02840909090909083,false
188,strong,0.6461038961038961,0.023268398268398216,false
189,strong,0.6574675324675324,0.015692640692640647,false
190,reporting,0.6396103896103896,-0.0035173160173158635,false
191,strong,0.7175324675324676,0.021915584415584277,false
192,strong,0.7256493506493507,0.01352813852813839,false
193,strong,0.7045454545454546,0.012716450216450181,false
194,strong,0.7646103896103896,0.00676406926406925,false
195,strong,0.7126623376623377,0.007575757575757569,false
196,strong,0.801948051948052,0.012716450216450181,false
197,strong,0.7483766233766234,0.011904761904761973,false
198,strong,0.7873376623376623,0.010010822510822415,false
199,strong,0.8214285714285714,0.015151515151515027,false
200,strong,0.797077922077922,0.015422077922077948,false
201,strong,0.8051948051948052,0.014069264069264231,false
202,strong,0.801948051948052,0.01406926406926401,false
203,strong,0.8068181818181818,0.011634199134199052,false
204,strong,0.8295454545454546,0.013257575757575801,false
205,strong,0.8051948051948052,0.012445887445887482,false
206,strong,0.8116883116883117,0.014610389610389518,false
207,strong,0.7987012987012987,0.023268398268398216,false
208,strong,0.7905844155844156,0.12743506493506496,false
209,strong,0.7775974025974026,0.14069264069264076,false
210,strong,0.7564935064935064,0.11282467532467533,false
211,strong,0.7305194805194806,0.10930735930735935,false
212,strong,0.676948051948052,0.09848484848484851,false
213,strong,0.6753246753246753,0.09767316017316019,false
214,strong,0.6753246753246753,0.12418831168831168,false
215,strong,0.711038961038961,0.13933982683982682,false
216,strong,0.6217532467532467,0.11931818181818177,false
217,strong,0.6542207792207793,0.1298701298701299,true
218,strong,0.4935064935064935,0.09172077922077926,true
219,strong,0.3538961038961039,0.06709956709956705,true
220,degraded,0.0,0.0,true
221,nascent,0.00487012987012987,-0.09537337662337662,false
222,nascent,0.00974025974025974,-0.09496753246753246,false
223,nascent,0.01461038961038961,-0.09699675324675323,false
224,nascent,0.01461038961038961,-0.10064935064935064,false
225,nascent,0.03409090909090909,-0.10957792207792208,false
226,microstate,0.03409090909090909,-0.11323051948051949,false
227,microstate,0.03409090909090909,-0.11647727272727273,false
228,microstate,0.03409090909090909,-0.11850649350649353,false
229,microstate,0.03409090909090909,-0.11850649350649353,false
230,microstate,0.03409090909090909,-0.11952110389610393,false
231,microstate,0.03409090909090909,-0.11850649350649353,false
232,microstate,0.03409090909090909,-0.11850649350649353,false
233,microstate,0.03409090909090909,-0.11850649350649353,false
234,microstate,0.03409090909090909,-0.12094155844155846,false
235,microstate,0.048701298701298704,-0.17958603896103892,false
236,microstate,0.06655844155844155,-0.1810064935064935,false
237,microstate,0.06655844155844155,-0.1881087662337662,false
238,microstate,0.06655844155844155,-0.1875,false
239,microstate,0.06655844155844155,-0.18770292207792205,false
240,microstate,0.06655844155844155,-0.18488455988455993,false
241,microstate,0.06655844155844155,-0.1985930735930736,false
242,microstate,0.06655844155844155,-0.19985569985569984,false
243,microstate,0.06655844155844155,-0.21266233766233772,false
244,microstate,0.06655844155844155,-0.1980519480519481,false
245,microstate,0.1038961038961039,-0.2236652236652237,false
246,microstate,0.10714285714285714,-0.2115800865800866,false
247,microstate,0.11201298701298701,-0.21410533910533908,false
248,microstate,0.11201298701298701,-0.21266233766233766,false
249,microstate,0.11201298701298701,-0.21013708513708512,false
250,microstate,0.11363636363636363,-0.22817460317460314,false
251,microstate,0.11363636363636363,-0.22186147186147176,false
252,microstate,0.10876623376623376,-0.22745310245310243,false
253,microstate,0.10876623376623376,-0.25,false
254,microstate,0.10876623376623376,-0.23575036075036074,false
255,microstate,0.11201298701298701,-0.253968253968254,false
256,microstate,0.11201298701298701,-0.2566738816738817,false
257,microstate,0.11201298701298701,-0.2505411255411255,false
258,microstate,0.11201298701298701,-0.25685425685425683,false
259,microstate,0.11201298701298701,-0.2593795093795094,false
260,microstate,0.1266233766233766,-0.2624458874458875,false
261,microstate,0.12824675324675325,-0.24801587301587305,false
262,microstate,0.12824675324675325,-0.24819624819624822,false
263,microstate,0.12824675324675325,-0.2709235209235209,false
264,microstate,0.12987012987012986,-0.2490981240981241,false
265,microstate,0.17045454545454544,-0.27182539682539675,false
266,microstate,0.16558441558441558,-0.30048701298701297,false
267,microstate,0.18019480519480519,-0.3133116883116883,false
268,microstate,0.24025974025974026,-0.28484015984015987,false
269,microstate,0.25487012987012986,-0.2792207792207792,false
270,microstate,0.26785714285714285,-0.31331168831168826,false
271,microstate,0.2987012987012987,-0.2983266733266733,false
